func,layer_idx,S,T,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,,1.0,,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,1,0.20408900262683605,0.891628870338644,0.14011308659346403,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,2,0.05949905673086042,0.7828534227009891,0.23360662626632908,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,3,0.12989496079226545,0.6616920263455651,0.2489569474429528,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,4,0.268082114941744,0.5311425727001043,0.23171785203303366,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,5,0.4210358067548506,0.47004556007121817,-0.027997971070505463,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
cosine,6,0.8056171829112109,0.28448089941673443,-0.13082181310077043,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,0,19.05399688182857,0.0,19.05399688182857,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,1,21.31857093143607,10.028642065090164,21.314510230511733,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,2,24.470800400074136,15.80494976718523,21.19391933222514,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,3,26.296681932940576,21.913790365994114,22.58492942542117,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,4,25.04026490179136,26.544408170742866,23.875666403558586,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,5,22.64198615739485,29.583225206241735,28.334270750732205,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
l2,6,17.71995644261869,33.8976497343397,34.68703299937919,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,0,0.0,1.0,0.0,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,1,0.4167812544371536,0.9656130135202989,0.27965422208811447,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,2,0.6437225738179025,1.0499371179654509,0.4721860758743556,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,3,0.8420059183606231,1.1531183948592287,0.556867560520608,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,4,0.9497422181087908,1.2261960069510502,0.6109902974532938,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,5,0.9332587166449525,1.3875385183579274,0.6903919781232695,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
norm_ratio,6,1.0235031471256077,0.8914474218225622,0.5181071446869344,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
spim,0,0.0,1.0,0.0,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
spim,1,0.0927547569076992,0.8635141283420201,0.04373111475028069,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
spim,2,0.04828000441077782,0.8467903224025125,0.10492967318670966,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
spim,3,0.090622354055446,0.8400320641117376,0.06934558183281615,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
spim,4,0.2028563884817032,0.7930850244621199,0.004058587056176545,rus-eng_s1989,13000,Мэри ведь всегда дома?,"Mary is always at home, isn't she?",Mary is always home?,0.8141
