func,layer_idx,I,S,T,F,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,1.0,,,,,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,1,0.5415943914800511,0.4184590062550028,0.34987925809693843,0.5706942999595954,0.18718497367631623,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,2,0.32580806339878593,0.5860064090526582,0.37406656231882157,0.5378486122594274,0.2761865529526798,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,3,0.20115441830133995,0.6618822569765315,0.3635707588515876,0.5973604241142663,0.25703507181058893,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,4,0.11256892679037227,0.6281075196635307,0.3289075273027209,0.5188114349506482,0.3715999640761715,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,5,0.032424138084172216,0.5900299294816957,0.18863736355403415,0.2832086764722498,0.6366538116779727,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,6,0.07583205223219068,0.7647527284215506,0.39501321011460566,0.5879385272235385,-0.012080651985982892,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,0,0.0,18.956832073845636,18.956832073845636,18.956832073845636,18.956832073845636,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,1,10.206574141182406,11.132087867224131,11.648062722077588,10.157964012425456,12.55963723832447,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,2,11.664586870967344,9.808082622521477,11.486927584758613,10.430489740069817,12.087947922382924,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,3,13.135144323154632,9.800842786091609,12.515523299383613,10.71644525781812,13.225688529709611,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,4,15.142249359084612,11.673962637744948,14.472660093818602,13.208599664088146,14.840816845007224,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,5,19.641164756081395,15.957705416657523,19.4488807662767,19.39057378379968,15.499568685294316,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,6,42.71079322776147,27.57222717202966,39.42379118779324,34.66225295561999,46.858081349053165,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,0,1.0,0.0,0.0,0.0,0.0,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,1,0.5756405535862283,0.4091711235348341,0.28664153468546816,0.5219150422390896,0.4466469453013337,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,2,0.296202843917317,0.5176590328960651,0.33199396779254714,0.5853958594488763,0.41183500737733303,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,3,0.15263943021699425,0.5562925357700678,0.2644631394839942,0.6214376197453121,0.4090157614419968,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,4,0.07561549978736216,0.5234739998094592,0.2694370419439938,0.6441193252972762,0.6207734638379026,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,5,0.0319150211548657,0.48727489580501687,0.30833839085357845,0.5031327865717072,0.7921570743773954,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,6,0.021962842153241686,0.73122330172626,0.32450607602562104,0.5369112325493729,0.43565297584757584,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,0,1.0,0.0,0.0,0.0,0.0,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,1,0.322197493779703,0.1767663836261724,0.09951973513569123,0.3164218059139973,0.08509458154443586,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,2,0.10410463542431957,0.3179491366860922,0.12877418392027828,0.33337627969200534,0.11579576427730433,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,3,0.033138249842189674,0.3841051779453952,0.09973636911923242,0.3806801462598257,0.10234005683335683,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,4,0.009246646611833062,0.3391840383000356,0.08683725129711889,0.3384324350385354,0.22629962875247706,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,5,0.0012139535765385075,0.28830379367493875,0.058654703842571994,0.1469544093970836,0.504873139508867,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,6,0.0016361213041974783,0.5596368655394965,0.1280411703646411,0.3158515403235306,-0.005165697531865666,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,0,1.0,,,,,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
cosine,1,0.5166759565870778,0.4017849803000519,0.34414611495731223,0.5196275109402054,0.1759473235005344,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
cosine,2,0.297096531729963,0.5631837045547872,0.3196863930124431,0.5616889103203285,0.2495441889847857,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
cosine,3,0.15345803242202555,0.5173888271601902,0.2786219950021581,0.7295372976513312,0.2989097790106591,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
cosine,4,0.09959488854705695,0.5169756367753345,0.3160257786903873,0.6175613437816692,0.4975438133749588,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
cosine,5,0.05537951015712421,0.6081934707183038,0.13044240977941393,0.4360068049649451,0.5423427641918289,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
cosine,6,0.06506965234056268,0.7260361221020756,0.40355193705998793,0.667422849375281,-0.007875321263240634,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
l2,0,0.0,19.11297890260497,19.11297890260497,19.11297890260497,19.11297890260497,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
l2,1,9.955830450667442,10.751324791157144,11.246798169978527,10.028562456025305,12.2074250819149,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
l2,2,10.957247585282817,9.22068041152134,10.964774664891943,9.51662283699717,11.469196415827717,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
l2,3,11.919166999599074,9.950509760739306,11.594823174320277,8.313889011384614,11.71132913729539,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
l2,4,13.57838457376913,11.38500673902643,13.04352013144859,10.866063701525025,12.054773738571866,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
l2,5,16.065166984549087,12.785886136646063,16.185128505074456,14.863103587896568,13.919579694138802,rus-eng_s20232,203000,Я не хочу говорить ответ.,I don't want to say the answer.,I don't want to say an answer.,0.9198
