func,layer_idx,S,T,C,seed,ckpt,src,tgt,hyp,comet_score
cosine,0,,1.0,,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,1,0.3100686871739511,0.6147208841311818,-0.33699357097182825,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,2,0.3683341127646867,0.273857535581135,-0.14760557966822296,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,3,0.47869873836079074,0.07298070506309054,-0.07535444049388539,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,4,0.4360936022988439,0.15406922816127813,-0.20104064026336124,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,5,0.492195647613355,0.16748437130347393,-0.226874775247682,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
cosine,6,0.4606221100307562,0.30838477610788234,-0.31637029318070947,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,0,18.956832073845636,0.0,18.956832073845636,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,1,11.99572175558405,21.21068164255099,24.680675594955666,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,2,13.58338775508004,37.55989852002481,33.60740374840997,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,3,17.25226814132298,52.606114240051305,42.73108774864187,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,4,23.989254186173362,72.25529684055296,59.19662067497989,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,5,29.143492434010984,82.03373859579072,66.96889872992818,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
l2,6,60.739516145797644,185.9099868820809,165.62030720044632,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,0,0.0,1.0,0.0,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,1,0.6590838273273243,2.143979199215481,1.464391441493088,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,2,1.1308262189776002,3.2604943525326586,2.512987204722846,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,3,1.587946293913661,4.0220201565009335,3.0868029197549736,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,4,1.8744695992715705,4.998880891779069,3.7316154709815224,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,5,1.7787212657392248,4.347074944849458,3.153583681175742,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
norm_ratio,6,1.5620717353871485,4.534665989809295,3.4287689267152297,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,0,0.0,1.0,0.0,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,1,0.2223024413296606,1.3170088301740273,-0.5393112715036881,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,2,0.423109414150374,1.2245436154476173,-0.6476530295979915,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
spim,3,0.7161183142277369,0.8659339583338614,-0.5820522725615982,rus-eng_s20232,203000,"Увидев меня, Мэри расплакалась и побежала в свою комнату.","When Mary saw me, she burst into tears and ran to her room.","Seeing me, Mary cried and ran into her room.",0.8624
